"""name""","""experience""","""domains""","""feedback""","""languages""","""jurisdiction""","""charge""","""disposal_days""","""firm""","""location""","""pro bono""","""demographics""","""gender"""
"""Dhanuk Baral""","""15""","""Consumer Protection Law Banking Finance Law Labor Law""","""""","""assamese, gujarati, odia""","""High Court""","""251.04747147782308""","""""","""Gour-Dhar""","""Mumbai""","""no""","""Individuals""","""male"""
"""Indrans Dhillon""","""27""","""Intellectual Property Law Labor Law Tax Law""","""3.0""","""gujarati, punjabi, telugu""","""Specialized Court""","""53.19343962269923""","""88.08889691415061""","""Kurian-Kumar""","""Mumbai""","""yes""","""Individuals""","""male"""
"""Parinaaz Devi""","""22""","""Medical Law Real Estate Law Consumer Protection Law""","""2.0""","""bengali, marathi, urdu""","""Supreme Court""","""418.72920393492177""","""91.53968292809496""","""Gaba-Kar""","""Kolkata""","""yes""","""Individuals""","""female"""
"""Renee Ben""","""24""","""Family Law Environmental Law Environmental Law""","""4.0""","""gujarati, odia, telugu""","""High Court""","""211.9212052864549""","""85.5330576566406""","""Baria-Dasgupta""","""Delhi""","""yes""","""Small Businesses""","""female"""
"""Shlok Upadhyay""","""9""","""Human Rights Law Real Estate Law Banking Finance Law""","""4.0""","""bengali, marathi, telugu""","""District Court""","""293.3445340852443""","""99.4983796517264""","""Chhabra-Deol""","""Mumbai""","""yes""","""Small Businesses""","""male"""
"""Zaina Ghose""","""20""","""Corporate Law Consumer Protection Law Civil Law""","""4.0""","""bengali, gujarati, marathi""","""Specialized Court""","""354.78530885104675""","""84.18555251005131""","""Jain-Sha""","""Kolkata""","""no""","""Large Corporations""","""female"""
"""Yakshit Brahmbhatt""","""17""","""Media Entertainment Law Constitutional Law Civil Law""","""2.0""","""assamese, kannada, punjabi""","""High Court""","""366.1833093970621""","""60.97553824139294""","""Borah-Ganesh""","""Chennai""","""yes""","""Individuals""","""female"""
"""Keya Kari""","""17""","""Criminal Law Family Law Medical Law""","""2.0""","""hindi, telugu""","""Supreme Court""","""480.1910264717325""","""87.75957756525538""","""Bhasin-Sule""","""Kolkata""","""yes""","""Small Businesses""","""female"""
"""Faiyaz Dube""","""26""","""Labor Law Labor Law Intellectual Property Law""","""5.0""","""bengali, gujarati, kannada""","""High Court""","""289.1029789564741""","""54.48783519940083""","""Bhatti-Choudhary""","""Kolkata""","""no""","""Individuals""","""female"""
"""Advik Rajagopalan""","""20""","""Constitutional Law Human Rights Law Medical Law""","""5.0""","""kannada, marathi""","""Specialized Court""","""229.8737979384924""","""95.30655946337085""","""Sandal Group""","""Bangalore""","""yes""","""Individuals""","""male"""
"""Raunak Vora""","""12""","""Consumer Protection Law Banking Finance Law Corporate Law""","""""","""kannada, tamil, telugu""","""Supreme Court""","""479.16663192126856""","""""","""Borah-Khanna""","""Delhi""","""yes""","""Individuals""","""female"""
"""Neysa Soman""","""7""","""Family Law Intellectual Property Law Intellectual Property Law""","""2.0""","""odia, punjabi, telugu""","""Specialized Court""","""338.9496057614845""","""92.450405323737""","""Chacko""","""Delhi""","""no""","""Small Businesses""","""female"""
"""Advik Vaidya""","""2""","""Medical Law Labor Law Medical Law""","""2.0""","""gujarati, punjabi, tamil""","""High Court""","""184.16766032445005""","""109.71112472286906""","""Chandra-Deol""","""Hyderabad""","""no""","""Individuals""","""male"""
"""Rati Mangal""","""3""","""Consumer Protection Law Constitutional Law Banking Finance Law""","""2.0""","""assamese, kannada, malayalam""","""District Court""","""106.908910431607""","""75.76876957098""","""Shan-Aggarwal""","""Chennai""","""no""","""Individuals""","""female"""
"""Lakshit Badal""","""17""","""Media Entertainment Law Medical Law Consumer Protection Law""","""5.0""","""assamese, kannada, malayalam""","""District Court""","""429.1495256593316""","""105.91884387768177""","""Chokshi""","""Hyderabad""","""no""","""Large Corporations""","""female"""
"""Uthkarsh Sur""","""5""","""Environmental Law Medical Law Constitutional Law""","""4.0""","""bengali, kannada, urdu""","""High Court""","""212.9817212573682""","""83.49915649970771""","""Sibal Inc""","""Kolkata""","""no""","""Individuals""","""male"""
"""Zaina Saha""","""17""","""Constitutional Law Civil Law Constitutional Law""","""3.0""","""gujarati, marathi, odia""","""High Court""","""347.211374613994""","""116.29792203098378""","""Kara-Buch""","""Chennai""","""no""","""Large Corporations""","""female"""
"""Baiju Hegde""","""24""","""Consumer Protection Law Media Entertainment Law Environmental Law""","""5.0""","""hindi, urdu""","""High Court""","""261.86738871465417""","""84.5227108020268""","""Guha-Viswanathan""","""Chennai""","""no""","""Individuals""","""female"""
"""Anay Kar""","""17""","""Banking Finance Law Human Rights Law Human Rights Law""","""2.0""","""hindi, malayalam""","""Supreme Court""","""139.51840090776727""","""77.39260521739963""","""D’Alia""","""Delhi""","""no""","""Large Corporations""","""female"""
"""Riya Mahal""","""27""","""Labor Law Banking Finance Law Labor Law""","""5.0""","""marathi, punjabi, tamil""","""Specialized Court""","""320.7589738792093""","""100.30857675592932""","""Dhillon LLC""","""Delhi""","""no""","""Small Businesses""","""female"""
"""Ivan Kunda""","""17""","""Criminal Law Criminal Law Medical Law""","""""","""assamese, hindi, tamil""","""Specialized Court""","""77.30738102780704""","""""","""Dar-Guha""","""Delhi""","""no""","""Small Businesses""","""male"""
"""Nirvaan Kakar""","""2""","""Human Rights Law Media Entertainment Law Criminal Law""","""2.0""","""hindi, kannada, punjabi""","""Specialized Court""","""236.0041069420365""","""77.37825728806487""","""Konda Group""","""Mumbai""","""yes""","""Individuals""","""male"""
"""Jivin Kanda""","""2""","""Immigration Law Banking Finance Law Banking Finance Law""","""1.0""","""hindi, punjabi, tamil""","""High Court""","""295.976722848652""","""82.83240223944313""","""Dave Ltd""","""Kolkata""","""no""","""Large Corporations""","""female"""
"""Saanvi Kapur""","""28""","""Constitutional Law Consumer Protection Law Criminal Law""","""2.0""","""bengali, gujarati, kannada""","""Specialized Court""","""246.22113835336057""","""89.33090201725499""","""Gera and Sons""","""Chennai""","""no""","""Small Businesses""","""male"""
"""Tiya Mander""","""22""","""Medical Law Corporate Law Corporate Law""","""5.0""","""gujarati, kannada, odia""","""High Court""","""386.9024788629459""","""110.13270196867282""","""Sarna Group""","""Kolkata""","""no""","""Individuals""","""female"""
"""Alia Sandhu""","""23""","""Environmental Law Environmental Law Corporate Law""","""4.0""","""gujarati, kannada""","""Supreme Court""","""422.5662295453906""","""60.988683818106345""","""Thakkar""","""Chennai""","""no""","""Individuals""","""female"""
"""Devansh Sami""","""5""","""Banking Finance Law Media Entertainment Law Tax Law""","""3.0""","""assamese, odia, urdu""","""District Court""","""397.0593833149301""","""90.34620988425633""","""Sami Inc""","""Chennai""","""no""","""Large Corporations""","""male"""
"""Drishya Bora""","""1""","""Family Law Banking Finance Law Constitutional Law""","""1.0""","""marathi, telugu""","""High Court""","""67.46582651531095""","""99.37355391981065""","""Walla PLC""","""Hyderabad""","""yes""","""Large Corporations""","""female"""
"""Anahi Gokhale""","""1""","""Real Estate Law Family Law Medical Law""","""5.0""","""hindi, malayalam, punjabi""","""High Court""","""137.35794670068748""","""92.90172862487694""","""Hayre LLC""","""Chennai""","""yes""","""Individuals""","""female"""
"""Hazel Sem""","""19""","""Civil Law Immigration Law Tax Law""","""4.0""","""assamese, odia, punjabi""","""District Court""","""291.47337916869844""","""109.647977541503""","""Ramakrishnan and Sons""","""Chennai""","""yes""","""Large Corporations""","""male"""
"""Rhea Wason""","""2""","""Corporate Law Medical Law Criminal Law""","""""","""hindi, kannada, marathi""","""District Court""","""470.66991819971054""","""""","""Yohannan""","""Bangalore""","""no""","""Large Corporations""","""female"""
"""Rasha Bir""","""21""","""Human Rights Law Immigration Law Human Rights Law""","""1.0""","""hindi, marathi, urdu""","""Supreme Court""","""425.7305487734526""","""87.23172836721082""","""Brar""","""Bangalore""","""no""","""Small Businesses""","""female"""
"""Ahana  Kadakia""","""12""","""Media Entertainment Law Immigration Law Family Law""","""3.0""","""kannada, odia, telugu""","""Specialized Court""","""429.1405287583107""","""98.88494320520014""","""Ahuja""","""Hyderabad""","""yes""","""Large Corporations""","""female"""
"""Arnav Shetty""","""26""","""Consumer Protection Law Media Entertainment Law Family Law""","""5.0""","""assamese, gujarati, odia""","""High Court""","""186.4436871918537""","""91.48970722427023""","""Goswami-Mane""","""Mumbai""","""no""","""Individuals""","""male"""
"""Kiaan Bhardwaj""","""6""","""Immigration Law Real Estate Law Corporate Law""","""2.0""","""bengali, hindi, tamil""","""Specialized Court""","""243.25155368541616""","""84.14386892579293""","""Bera""","""Delhi""","""no""","""Large Corporations""","""female"""
"""Diya Sule""","""23""","""Constitutional Law Immigration Law Human Rights Law""","""4.0""","""bengali, hindi, tamil""","""High Court""","""261.8176762921718""","""97.74216059379567""","""Kadakia-Tara""","""Chennai""","""yes""","""Individuals""","""female"""
"""Badal Chauhan""","""4""","""Consumer Protection Law Corporate Law Intellectual Property Law""","""5.0""","""kannada, marathi""","""Supreme Court""","""120.81721250745969""","""80.21207560175033""","""Sachdev""","""Kolkata""","""no""","""Individuals""","""male"""
"""Indrajit Sarraf""","""23""","""Tax Law Consumer Protection Law Criminal Law""","""4.0""","""assamese, hindi, malayalam""","""District Court""","""63.98065861000534""","""80.8323427197101""","""Kaur""","""Bangalore""","""no""","""Large Corporations""","""male"""
"""Priyansh Bumb""","""11""","""Corporate Law Criminal Law Family Law""","""2.0""","""gujarati, punjabi, tamil""","""Supreme Court""","""476.1063047572326""","""82.0800896735158""","""Ram-Upadhyay""","""Delhi""","""no""","""Large Corporations""","""male"""
"""Hazel Chand""","""24""","""Real Estate Law Immigration Law Human Rights Law""","""3.0""","""marathi, odia, telugu""","""District Court""","""158.320663548578""","""110.29603740249613""","""Bhargava-Chandra""","""Mumbai""","""no""","""Large Corporations""","""male"""
"""Reyansh Suri""","""27""","""Banking Finance Law Human Rights Law Media Entertainment Law""","""""","""malayalam, marathi, punjabi""","""Specialized Court""","""157.97700667563407""","""""","""Mann""","""Delhi""","""no""","""Small Businesses""","""male"""
"""Manjari Mammen""","""17""","""Medical Law Labor Law Medical Law""","""2.0""","""kannada, telugu, urdu""","""Specialized Court""","""87.52057419594179""","""95.93398252144414""","""Vala""","""Chennai""","""no""","""Small Businesses""","""male"""
"""Rohan Goda""","""6""","""Labor Law Human Rights Law Human Rights Law""","""4.0""","""bengali, gujarati, punjabi""","""Supreme Court""","""467.8284883747003""","""90.51407721300332""","""Dhawan-Handa""","""Delhi""","""no""","""Large Corporations""","""male"""
"""Oorja Saini""","""24""","""Banking Finance Law Labor Law Media Entertainment Law""","""5.0""","""assamese, kannada, tamil""","""District Court""","""310.8817017228974""","""64.7869431114282""","""Varghese""","""Chennai""","""yes""","""Individuals""","""male"""
"""Vritika Choudhry""","""5""","""Banking Finance Law Real Estate Law Criminal Law""","""2.0""","""bengali, hindi, tamil""","""Supreme Court""","""350.16658570640925""","""94.64590168704004""","""Kant PLC""","""Hyderabad""","""yes""","""Large Corporations""","""female"""
"""Anay Batra""","""20""","""Civil Law Corporate Law Immigration Law""","""1.0""","""marathi, telugu""","""District Court""","""460.2095992683736""","""97.136279877473""","""Dada""","""Bangalore""","""no""","""Small Businesses""","""female"""
"""Devansh Cherian""","""2""","""Criminal Law Criminal Law Media Entertainment Law""","""4.0""","""punjabi, tamil, telugu""","""District Court""","""205.52907600535528""","""98.844588470361""","""Cheema-Sinha""","""Bangalore""","""no""","""Small Businesses""","""male"""
"""Arhaan Contractor""","""6""","""Banking Finance Law Family Law Human Rights Law""","""3.0""","""malayalam, punjabi, tamil""","""Specialized Court""","""329.67829001213784""","""50.22257905432576""","""Wason and Sons""","""Chennai""","""yes""","""Large Corporations""","""male"""
"""Yuvraj  Kothari""","""22""","""Consumer Protection Law Constitutional Law Human Rights Law""","""2.0""","""hindi, tamil, telugu""","""Specialized Court""","""67.45975462799936""","""110.49584117781656""","""Chhabra""","""Kolkata""","""yes""","""Individuals""","""male"""
"""Madhav Roy""","""11""","""Real Estate Law Media Entertainment Law Civil Law""","""3.0""","""malayalam, tamil""","""District Court""","""134.0476377040082""","""78.93394942972739""","""Mani""","""Bangalore""","""yes""","""Individuals""","""male"""
"""Jayesh Shetty""","""16""","""Real Estate Law Criminal Law Media Entertainment Law""","""""","""assamese, marathi""","""District Court""","""424.0606122904741""","""""","""Maharaj-Agarwal""","""Kolkata""","""yes""","""Small Businesses""","""female"""
"""Dharmajan Sehgal""","""16""","""Labor Law Constitutional Law Constitutional Law""","""3.0""","""malayalam, marathi, urdu""","""District Court""","""395.0457603522511""","""101.11610671023428""","""Bhardwaj and Sons""","""Chennai""","""yes""","""Small Businesses""","""male"""
"""Indranil Bose""","""1""","""Intellectual Property Law Human Rights Law Tax Law""","""2.0""","""assamese, bengali, kannada""","""Specialized Court""","""207.7892111557161""","""76.84954371571061""","""Ray Inc""","""Hyderabad""","""yes""","""Small Businesses""","""male"""
"""Nirvi Sinha""","""9""","""Media Entertainment Law Civil Law Criminal Law""","""4.0""","""gujarati, tamil, telugu""","""Specialized Court""","""219.56478249839563""","""99.90689928527324""","""Mand and Sons""","""Chennai""","""yes""","""Individuals""","""female"""
"""Pihu Wason""","""28""","""Labor Law Medical Law Civil Law""","""1.0""","""assamese, kannada, marathi""","""High Court""","""290.09949509911075""","""84.21760138631463""","""Bava""","""Hyderabad""","""no""","""Small Businesses""","""female"""
"""Rhea Guha""","""27""","""Consumer Protection Law Constitutional Law Human Rights Law""","""2.0""","""hindi, kannada, marathi""","""District Court""","""50.108452108310544""","""58.92934230992764""","""Mangal""","""Bangalore""","""yes""","""Small Businesses""","""female"""
"""Jayan Vig""","""6""","""Medical Law Consumer Protection Law Immigration Law""","""5.0""","""hindi, marathi, urdu""","""High Court""","""158.55995121711254""","""107.51612888291668""","""Dewan-Soni""","""Kolkata""","""yes""","""Individuals""","""male"""
"""Tarini Dugar""","""16""","""Intellectual Property Law Intellectual Property Law Tax Law""","""2.0""","""gujarati, malayalam, urdu""","""District Court""","""143.7043138736965""","""78.37432555475641""","""Dugar PLC""","""Chennai""","""yes""","""Small Businesses""","""female"""
"""Hazel Keer""","""29""","""Intellectual Property Law Consumer Protection Law Criminal Law""","""4.0""","""hindi, marathi""","""Specialized Court""","""162.71732603739355""","""77.18259805892919""","""Kata-Viswanathan""","""Bangalore""","""no""","""Small Businesses""","""male"""
"""Raghav Kadakia""","""3""","""Immigration Law Banking Finance Law Corporate Law""","""2.0""","""bengali, tamil, urdu""","""High Court""","""412.6576291400486""","""83.95401197944916""","""Karan-Dyal""","""Hyderabad""","""no""","""Large Corporations""","""male"""
"""Ritvik Varma""","""20""","""Immigration Law Medical Law Civil Law""","""""","""assamese, malayalam, telugu""","""High Court""","""175.85323544589943""","""""","""Kapadia PLC""","""Chennai""","""no""","""Small Businesses""","""female"""
"""Miraan Kibe""","""28""","""Family Law Medical Law Tax Law""","""1.0""","""assamese, gujarati, urdu""","""Supreme Court""","""136.18459492256667""","""89.14094383766846""","""Dyal""","""Hyderabad""","""yes""","""Large Corporations""","""female"""
"""Divyansh Tripathi""","""27""","""Constitutional Law Labor Law Criminal Law""","""5.0""","""hindi, marathi, punjabi""","""District Court""","""276.9185573568642""","""98.22100387060756""","""Kurian""","""Delhi""","""yes""","""Small Businesses""","""male"""
"""Renee Andra""","""4""","""Constitutional Law Corporate Law Civil Law""","""3.0""","""malayalam, odia""","""Specialized Court""","""439.5402663677294""","""69.90765950207012""","""Batta-Bhavsar""","""Hyderabad""","""yes""","""Small Businesses""","""female"""
"""Eva Bala""","""19""","""Environmental Law Tax Law Immigration Law""","""4.0""","""gujarati, telugu, urdu""","""Supreme Court""","""158.60736672687494""","""78.86420444353898""","""Tella""","""Delhi""","""no""","""Large Corporations""","""female"""
"""Jivin Dara""","""26""","""Media Entertainment Law Real Estate Law Criminal Law""","""4.0""","""bengali, urdu""","""Supreme Court""","""85.34130925675942""","""88.260043915177""","""Ravel Group""","""Bangalore""","""no""","""Small Businesses""","""female"""
"""Riaan Banik""","""3""","""Human Rights Law Human Rights Law Criminal Law""","""3.0""","""hindi, urdu""","""District Court""","""210.38213113234912""","""118.4683093898806""","""Karan""","""Chennai""","""no""","""Large Corporations""","""female"""
"""Prisha Mall""","""19""","""Criminal Law Intellectual Property Law Banking Finance Law""","""1.0""","""malayalam, odia, urdu""","""Supreme Court""","""386.44332105424""","""88.29281192379364""","""Sankaran-Wason""","""Bangalore""","""no""","""Small Businesses""","""female"""
"""Lakshit Sodhi""","""20""","""Constitutional Law Constitutional Law Criminal Law""","""1.0""","""hindi, malayalam, telugu""","""District Court""","""297.8107451126576""","""106.27833395492448""","""Sura""","""Mumbai""","""no""","""Large Corporations""","""female"""
"""Devansh Shere""","""7""","""Immigration Law Immigration Law Environmental Law""","""2.0""","""bengali, tamil, urdu""","""Supreme Court""","""417.5570163084564""","""90.57832753176476""","""Dara Inc""","""Hyderabad""","""no""","""Large Corporations""","""male"""
"""Pihu Bahri""","""20""","""Family Law Corporate Law Labor Law""","""""","""bengali, marathi""","""District Court""","""481.8164664241553""","""""","""Barman""","""Bangalore""","""yes""","""Small Businesses""","""female"""
"""Pari Dutta""","""9""","""Banking Finance Law Intellectual Property Law Environmental Law""","""5.0""","""gujarati, marathi, urdu""","""Specialized Court""","""406.6981145382277""","""86.2991336382834""","""Deo-Soni""","""Bangalore""","""no""","""Small Businesses""","""female"""
"""Aarav Wali""","""1""","""Media Entertainment Law Real Estate Law Human Rights Law""","""5.0""","""marathi, punjabi, urdu""","""District Court""","""321.711385479689""","""87.47370431956678""","""Srinivasan-Kannan""","""Delhi""","""no""","""Large Corporations""","""female"""
"""Trisha Loyal""","""8""","""Family Law Labor Law Corporate Law""","""2.0""","""kannada, tamil""","""District Court""","""272.0037146235712""","""99.05468608441107""","""Vasa Inc""","""Hyderabad""","""no""","""Individuals""","""female"""
"""Ishaan Chandra""","""7""","""Banking Finance Law Human Rights Law Medical Law""","""5.0""","""gujarati, malayalam""","""High Court""","""68.03108885672""","""110.61916901364832""","""Chacko-Gokhale""","""Delhi""","""no""","""Small Businesses""","""female"""
"""Adira Sha""","""18""","""Medical Law Corporate Law Human Rights Law""","""3.0""","""gujarati, punjabi, urdu""","""Specialized Court""","""492.94489046631855""","""95.39521271529482""","""Batta""","""Chennai""","""yes""","""Small Businesses""","""female"""
"""Kiaan Koshy""","""8""","""Medical Law Real Estate Law Immigration Law""","""2.0""","""odia, tamil, telugu""","""Specialized Court""","""222.56650515876916""","""107.80616518112632""","""Mangat Group""","""Bangalore""","""yes""","""Individuals""","""female"""
"""Yashvi Sathe""","""1""","""Intellectual Property Law Civil Law Environmental Law""","""3.0""","""hindi, kannada, tamil""","""Specialized Court""","""118.50269626259006""","""75.52815393555471""","""Sundaram-Soni""","""Hyderabad""","""no""","""Individuals""","""female"""
"""Indrans Brar""","""11""","""Media Entertainment Law Civil Law Media Entertainment Law""","""2.0""","""bengali, punjabi, tamil""","""Supreme Court""","""350.0189849284056""","""83.78054236778954""","""Kanda""","""Bangalore""","""yes""","""Large Corporations""","""male"""
"""Indrans Chaudhary""","""28""","""Environmental Law Consumer Protection Law Tax Law""","""5.0""","""gujarati, marathi, urdu""","""High Court""","""177.9297300929567""","""79.13546198688499""","""Batta and Sons""","""Chennai""","""yes""","""Small Businesses""","""male"""
"""Charvi Loke""","""25""","""Human Rights Law Consumer Protection Law Consumer Protection Law""","""""","""tamil, telugu, urdu""","""Specialized Court""","""313.60022191897144""","""""","""Tella""","""Kolkata""","""no""","""Large Corporations""","""female"""
"""Ayesha Sha""","""25""","""Labor Law Real Estate Law Media Entertainment Law""","""3.0""","""hindi, marathi""","""Supreme Court""","""314.04555853006605""","""84.6156242223088""","""Sachdev Ltd""","""Chennai""","""yes""","""Small Businesses""","""female"""
"""Rasha Sarraf""","""18""","""Criminal Law Intellectual Property Law Labor Law""","""3.0""","""gujarati, kannada, urdu""","""Supreme Court""","""250.57841940629112""","""100.94659405551292""","""Kadakia Group""","""Delhi""","""yes""","""Individuals""","""female"""
"""Ehsaan Dhawan""","""23""","""Consumer Protection Law Consumer Protection Law Intellectual Property Law""","""2.0""","""hindi, kannada, marathi""","""Supreme Court""","""426.2533769952692""","""76.03497432551337""","""Das-Kurian""","""Delhi""","""yes""","""Large Corporations""","""female"""
"""Siya Shetty""","""10""","""Intellectual Property Law Human Rights Law Consumer Protection Law""","""4.0""","""hindi, tamil, telugu""","""High Court""","""169.23517769994936""","""90.64546459981922""","""Wali-Magar""","""Bangalore""","""yes""","""Small Businesses""","""male"""
"""Mamooty Kumar""","""3""","""Labor Law Corporate Law Labor Law""","""5.0""","""gujarati, kannada, tamil""","""Supreme Court""","""251.8846662279804""","""100.30286866518384""","""Bhatt PLC""","""Delhi""","""no""","""Small Businesses""","""female"""
"""Aniruddh Thaker""","""7""","""Constitutional Law Intellectual Property Law Constitutional Law""","""3.0""","""bengali, hindi, odia""","""High Court""","""291.9614578659372""","""59.02045837439084""","""Guha LLC""","""Hyderabad""","""yes""","""Individuals""","""male"""
"""Dhanuk Chaudry""","""28""","""Environmental Law Consumer Protection Law Constitutional Law""","""4.0""","""hindi, kannada, punjabi""","""District Court""","""348.63112434528483""","""121.82446960995304""","""Sathe""","""Chennai""","""no""","""Individuals""","""male"""
"""Lavanya Thaman""","""16""","""Intellectual Property Law Family Law Criminal Law""","""5.0""","""telugu, urdu""","""Supreme Court""","""402.78733272751526""","""85.75272172680187""","""Handa-Garde""","""Bangalore""","""yes""","""Small Businesses""","""female"""
"""Vritika Bhatti""","""26""","""Corporate Law Constitutional Law Human Rights Law""","""5.0""","""bengali, malayalam, urdu""","""Specialized Court""","""227.66327729521524""","""59.62440129485741""","""Zachariah-Ganesh""","""Chennai""","""yes""","""Individuals""","""female"""
"""Vritika Wable""","""16""","""Constitutional Law Family Law Labor Law""","""""","""punjabi, telugu, urdu""","""Supreme Court""","""340.7211248434682""","""""","""Dara""","""Chennai""","""yes""","""Individuals""","""female"""
"""Miraan Sem""","""25""","""Labor Law Environmental Law Intellectual Property Law""","""3.0""","""bengali, gujarati, kannada""","""District Court""","""117.7749288808336""","""90.50165201959726""","""Boase""","""Bangalore""","""no""","""Large Corporations""","""female"""
"""Aarush Kota""","""20""","""Criminal Law Civil Law Media Entertainment Law""","""2.0""","""assamese, gujarati, marathi""","""District Court""","""469.69164524411536""","""88.7715843064126""","""Kala Group""","""Kolkata""","""yes""","""Small Businesses""","""female"""
"""Myra Shetty""","""28""","""Consumer Protection Law Labor Law Labor Law""","""4.0""","""bengali, odia, telugu""","""Supreme Court""","""222.3764628894516""","""104.8678666939""","""Rattan LLC""","""Delhi""","""no""","""Large Corporations""","""male"""
"""Anahita Kade""","""17""","""Labor Law Criminal Law Corporate Law""","""4.0""","""tamil, urdu""","""District Court""","""378.2846398893973""","""101.21167457140584""","""Majumdar""","""Mumbai""","""yes""","""Individuals""","""female"""
"""Misha Char""","""2""","""Banking Finance Law Constitutional Law Consumer Protection Law""","""3.0""","""hindi, marathi""","""High Court""","""59.153486846979945""","""94.46814286535768""","""Dugal Inc""","""Mumbai""","""yes""","""Small Businesses""","""female"""
"""Parinaaz Golla""","""1""","""Media Entertainment Law Civil Law Corporate Law""","""5.0""","""bengali, kannada, urdu""","""High Court""","""142.33421430716317""","""96.75233450919971""","""Lalla""","""Mumbai""","""no""","""Individuals""","""female"""
"""Divit Manne""","""16""","""Medical Law Intellectual Property Law Intellectual Property Law""","""3.0""","""marathi, tamil, urdu""","""Supreme Court""","""269.1871449456101""","""88.4346232584287""","""Koshy LLC""","""Delhi""","""yes""","""Individuals""","""female"""
"""Anya Balan""","""12""","""Media Entertainment Law Intellectual Property Law Labor Law""","""5.0""","""marathi, punjabi, urdu""","""High Court""","""445.213610479556""","""116.63236273860072""","""Sarraf""","""Kolkata""","""yes""","""Small Businesses""","""female"""
"""Tarini Yohannan""","""5""","""Intellectual Property Law Intellectual Property Law Civil Law""","""5.0""","""assamese, tamil""","""High Court""","""287.26481747780474""","""67.8120597246335""","""Raja-Banik""","""Chennai""","""yes""","""Individuals""","""female"""
"""Arhaan Ganguly""","""5""","""Intellectual Property Law Labor Law Banking Finance Law""","""""","""assamese, gujarati, malayalam""","""Specialized Court""","""468.4417170322456""","""""","""Bedi""","""Bangalore""","""no""","""Large Corporations""","""male"""
"""Eshani Grewal""","""27""","""Consumer Protection Law Family Law Human Rights Law""","""1.0""","""bengali, hindi, odia""","""Supreme Court""","""267.70860346225834""","""90.9753694678317""","""Konda and Sons""","""Kolkata""","""yes""","""Small Businesses""","""female"""
"""Ranbir Balakrishnan""","""23""","""Real Estate Law Criminal Law Corporate Law""","""4.0""","""hindi, malayalam, telugu""","""District Court""","""270.70209353117747""","""102.1992060909689""","""Mane LLC""","""Mumbai""","""yes""","""Individuals""","""male"""
"""Indrajit Dhar""","""9""","""Criminal Law Human Rights Law Corporate Law""","""5.0""","""marathi, urdu""","""Supreme Court""","""103.88605482523934""","""77.34219183862652""","""Bir""","""Hyderabad""","""yes""","""Individuals""","""male"""
"""Lavanya Karnik""","""9""","""Tax Law Consumer Protection Law Family Law""","""5.0""","""gujarati, hindi, telugu""","""High Court""","""411.1953098684989""","""63.84491096405196""","""Rajagopalan and Sons""","""Delhi""","""no""","""Individuals""","""female"""
"""Shaan Dugar""","""3""","""Constitutional Law Intellectual Property Law Labor Law""","""1.0""","""assamese, malayalam""","""Specialized Court""","""161.13443561017812""","""92.3523452414729""","""Tandon-Malhotra""","""Delhi""","""yes""","""Small Businesses""","""male"""
"""Tushar Bhakta""","""19""","""Media Entertainment Law Tax Law Human Rights Law""","""2.0""","""malayalam, odia, tamil""","""Supreme Court""","""454.82562021754177""","""94.21845738327906""","""Agrawal""","""Bangalore""","""no""","""Large Corporations""","""male"""
"""Uthkarsh Singh""","""16""","""Family Law Environmental Law Medical Law""","""1.0""","""gujarati, odia, punjabi""","""Supreme Court""","""459.87089914867823""","""112.34399114171474""","""Rout Inc""","""Hyderabad""","""yes""","""Individuals""","""male"""
"""Kiaan Shenoy""","""16""","""Consumer Protection Law Constitutional Law Corporate Law""","""1.0""","""assamese, kannada, marathi""","""High Court""","""474.48955034336734""","""70.94456930512371""","""Tailor""","""Chennai""","""yes""","""Individuals""","""female"""
"""Aayush Singhal""","""3""","""Criminal Law Corporate Law Environmental Law""","""5.0""","""odia, punjabi, telugu""","""High Court""","""284.1037200963905""","""107.3204065007508""","""Singhal-Bir""","""Kolkata""","""no""","""Individuals""","""female"""
"""Adira Sastry""","""20""","""Family Law Consumer Protection Law Immigration Law""","""""","""hindi, kannada, punjabi""","""Supreme Court""","""354.69220315263993""","""""","""Dhar-Deshmukh""","""Hyderabad""","""no""","""Small Businesses""","""female"""
"""Saira Chander""","""24""","""Criminal Law Tax Law Banking Finance Law""","""1.0""","""odia, tamil, telugu""","""High Court""","""400.3321460277486""","""84.33352668716284""","""Chada""","""Kolkata""","""no""","""Individuals""","""female"""
"""Dharmajan Chana""","""22""","""Criminal Law Criminal Law Banking Finance Law""","""2.0""","""gujarati, hindi, odia""","""High Court""","""108.95657839270952""","""70.63586670760164""","""Bhat""","""Kolkata""","""no""","""Individuals""","""male"""
"""Rhea Chakraborty""","""24""","""Labor Law Labor Law Labor Law""","""3.0""","""gujarati, kannada, telugu""","""High Court""","""320.4307377488737""","""83.89538450439943""","""Mallick Inc""","""Chennai""","""no""","""Individuals""","""female"""
"""Vihaan Sharaf""","""1""","""Human Rights Law Human Rights Law Constitutional Law""","""1.0""","""hindi, kannada, punjabi""","""High Court""","""65.43405558649025""","""90.2100745105707""","""Bhattacharyya""","""Chennai""","""yes""","""Small Businesses""","""female"""
"""Himmat Tripathi""","""24""","""Banking Finance Law Human Rights Law Family Law""","""1.0""","""punjabi, tamil, urdu""","""High Court""","""273.90473752492665""","""98.45681812510372""","""Vyas""","""Chennai""","""yes""","""Large Corporations""","""male"""
